Participant,Condition,Texture,Ratings
1,0,Carpet,3.6666666666666665
1,0,RoughFoam,5.666666666666667
1,0,Sandpaper,3.3333333333333335
1,0,Wood,4.333333333333333
1,1,Carpet,3.0
1,1,RoughFoam,5.666666666666667
1,1,Sandpaper,4.333333333333333
1,1,Wood,5.333333333333333
2,0,Carpet,5.666666666666667
2,0,RoughFoam,4.0
2,0,Sandpaper,4.666666666666667
2,0,Wood,2.6666666666666665
2,1,Carpet,4.0
2,1,RoughFoam,3.6666666666666665
2,1,Sandpaper,5.0
2,1,Wood,5.0
3,0,Carpet,3.0
3,0,RoughFoam,3.6666666666666665
3,0,Sandpaper,5.0
3,0,Wood,4.333333333333333
3,1,Carpet,3.3333333333333335
3,1,RoughFoam,5.666666666666667
3,1,Sandpaper,5.666666666666667
3,1,Wood,3.6666666666666665
4,0,Carpet,4.333333333333333
4,0,RoughFoam,4.0
4,0,Sandpaper,3.3333333333333335
4,0,Wood,4.0
4,1,Carpet,2.3333333333333335
4,1,RoughFoam,2.6666666666666665
4,1,Sandpaper,5.333333333333333
4,1,Wood,4.666666666666667
5,0,Carpet,3.6666666666666665
5,0,RoughFoam,2.3333333333333335
5,0,Sandpaper,4.333333333333333
5,0,Wood,5.333333333333333
5,1,Carpet,5.333333333333333
5,1,RoughFoam,3.0
5,1,Sandpaper,5.0
5,1,Wood,6.0
6,0,Carpet,4.333333333333333
6,0,RoughFoam,3.0
6,0,Sandpaper,5.0
6,0,Wood,5.333333333333333
6,1,Carpet,4.333333333333333
6,1,RoughFoam,4.666666666666667
6,1,Sandpaper,6.0
6,1,Wood,6.0
7,0,Carpet,4.333333333333333
7,0,RoughFoam,6.0
7,0,Sandpaper,6.0
7,0,Wood,4.666666666666667
7,1,Carpet,4.666666666666667
7,1,RoughFoam,6.0
7,1,Sandpaper,6.0
7,1,Wood,4.333333333333333
8,0,Carpet,3.3333333333333335
8,0,RoughFoam,2.0
8,0,Sandpaper,4.666666666666667
8,0,Wood,3.0
8,1,Carpet,3.3333333333333335
8,1,RoughFoam,2.3333333333333335
8,1,Sandpaper,4.333333333333333
8,1,Wood,3.0
9,0,Carpet,3.3333333333333335
9,0,RoughFoam,3.0
9,0,Sandpaper,5.666666666666667
9,0,Wood,3.6666666666666665
9,1,Carpet,3.0
9,1,RoughFoam,5.333333333333333
9,1,Sandpaper,4.333333333333333
9,1,Wood,4.0
10,0,Carpet,2.3333333333333335
10,0,RoughFoam,1.6666666666666667
10,0,Sandpaper,3.6666666666666665
10,0,Wood,2.3333333333333335
10,1,Carpet,4.333333333333333
10,1,RoughFoam,1.3333333333333333
10,1,Sandpaper,4.333333333333333
10,1,Wood,3.3333333333333335
11,0,Carpet,2.6666666666666665
11,0,RoughFoam,2.0
11,0,Sandpaper,3.3333333333333335
11,0,Wood,2.0
11,1,Carpet,2.6666666666666665
11,1,RoughFoam,2.6666666666666665
11,1,Sandpaper,4.0
11,1,Wood,2.3333333333333335
12,0,Carpet,2.6666666666666665
12,0,RoughFoam,3.0
12,0,Sandpaper,3.3333333333333335
12,0,Wood,4.0
12,1,Carpet,2.0
12,1,RoughFoam,5.666666666666667
12,1,Sandpaper,3.6666666666666665
12,1,Wood,3.0
13,0,Carpet,1.0
13,0,RoughFoam,1.3333333333333333
13,0,Sandpaper,4.333333333333333
13,0,Wood,3.3333333333333335
13,1,Carpet,3.3333333333333335
13,1,RoughFoam,1.3333333333333333
13,1,Sandpaper,3.0
13,1,Wood,3.3333333333333335
14,0,Carpet,1.0
14,0,RoughFoam,2.3333333333333335
14,0,Sandpaper,3.6666666666666665
14,0,Wood,2.3333333333333335
14,1,Carpet,2.0
14,1,RoughFoam,5.0
14,1,Sandpaper,4.666666666666667
14,1,Wood,3.3333333333333335
15,0,Carpet,5.0
15,0,RoughFoam,4.666666666666667
15,0,Sandpaper,6.333333333333333
15,0,Wood,4.666666666666667
15,1,Carpet,5.333333333333333
15,1,RoughFoam,5.333333333333333
15,1,Sandpaper,5.666666666666667
15,1,Wood,6.0
16,0,Carpet,4.0
16,0,RoughFoam,1.3333333333333333
16,0,Sandpaper,4.333333333333333
16,0,Wood,4.0
16,1,Carpet,3.0
16,1,RoughFoam,3.3333333333333335
16,1,Sandpaper,4.333333333333333
16,1,Wood,3.6666666666666665
17,0,Carpet,2.6666666666666665
17,0,RoughFoam,1.0
17,0,Sandpaper,2.3333333333333335
17,0,Wood,3.0
17,1,Carpet,2.3333333333333335
17,1,RoughFoam,2.3333333333333335
17,1,Sandpaper,3.3333333333333335
17,1,Wood,2.6666666666666665
18,0,Carpet,3.0
18,0,RoughFoam,3.3333333333333335
18,0,Sandpaper,4.666666666666667
18,0,Wood,2.6666666666666665
18,1,Carpet,3.0
18,1,RoughFoam,2.6666666666666665
18,1,Sandpaper,2.6666666666666665
18,1,Wood,2.3333333333333335
19,0,Carpet,4.0
19,0,RoughFoam,5.0
19,0,Sandpaper,3.3333333333333335
19,0,Wood,2.6666666666666665
19,1,Carpet,3.3333333333333335
19,1,RoughFoam,4.0
19,1,Sandpaper,3.0
19,1,Wood,2.6666666666666665
20,0,Carpet,2.0
20,0,RoughFoam,3.0
20,0,Sandpaper,3.0
20,0,Wood,1.0
20,1,Carpet,2.0
20,1,RoughFoam,2.6666666666666665
20,1,Sandpaper,4.666666666666667
20,1,Wood,2.0
